annex2_code,field_name,canonical_field,priority,xsd_requirement,applicability,projected,delivered,has_field_rule,delivery_sample_value,xml_leaf_element,xml_first_record_value,population_mechanism,xsd_status
RREL20,Secondary Income,secondary_income,Optional,ND1-4 allowed; ND5 allowed,in scope,False,False,False,,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/OblgrDtls/FinDtls/ScndryOblgrIncm/IncmVal,ND5,omitted (no projected source; not derived),document XSD PASSED
RREL21,Secondary Income Verification,secondary_income_verification,Optional,ND1-4 allowed; ND5 allowed,in scope,False,False,False,,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/OblgrDtls/FinDtls/ScndryOblgrIncm/Vrfctn,ND5,omitted (no projected source; not derived),document XSD PASSED
RREL22,Special Scheme,special_scheme,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/SpclSchme,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL23,Origination Date,origination_date,Analytics,ND1-4 allowed,in scope,True,True,False,2018-11-14,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IssncAndMtrtyDtls/OrgtnDt,2018-11-14,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL24,Maturity Date,maturity_date,Mandatory,; ND5 allowed,in scope,True,True,False,2064-11-30,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IssncAndMtrtyDtls/MtrtyDt,2064-11-30,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL25,Original Term,original_term,Analytics,ND1-4 allowed; ND5 allowed,in scope,True,True,True,552,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IssncAndMtrtyDtls/OrgnlTerm,552,projector via registry mapping + rule (validation/format),document XSD PASSED
RREL26,Origination Channel,origination_channel,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,BROK,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/OrgtnChanl,BROK,projector via registry mapping + rule enum transform,document XSD PASSED
RREL27,Purpose,purpose,Analytics,ND1-4 allowed,in scope,True,True,True,RENV,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/Purp,RENV,projector via registry mapping + rule enum transform,document XSD PASSED
RREL28,Currency Denomination,exposure_currency_denomination,Mandatory,no ND,in scope,True,True,False,GBP,,,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL29,Original Principal Balance,original_principal_balance,Analytics,ND1-4 allowed; ND5 allowed,in scope,True,True,False,55000.0,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/BalDtls/OrgnlPrncplBal,55000.0,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL3,New Underlying Exposure Identifier,new_underlying_exposure_identifier,Mandatory,no ND,in scope,True,True,False,EXP-000001,UndrlygXpsrId/NewUndrlygXpsrIdr,EXP-000001,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL30,Current Principal Balance,current_principal_balance,Mandatory,; ND5 allowed,in scope,True,True,False,91887.41,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/BalDtls/CurPrncplBal,91887.41,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL31,Prior Principal Balances,prior_principal_balances,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/BalDtls/PrrPrncplBal,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL32,Pari Passu Underlying Exposures,pari_passu_underlying_exposures,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/BalDtls/PrpssUndrlygXpsr,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL33,Total Credit Limit,total_credit_limit,Mandatory,; ND5 allowed,in scope,True,True,False,60500.0,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/BalDtls/TtlCdtLmt,60500.0,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL34,Purchase Price,purchase_price,Mandatory,; ND5 allowed,in scope,True,True,False,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/BalDtls/PurchsPric,ND5,projector via registry regime_mapping (no direct rule); permitted no-data value in output,document XSD PASSED
