youngest_borrower_age,year_built,valuation_type,unique_identifier,undrawn_facility,underlying_exposure_identifier,total_credit_limit,stressed_LTV,special_scheme,secondary_income_verification,secondary_income,scheduled_principal_payment_frequency,scheduled_interest_payment_frequency,sale_price,revision_margin_3,revision_margin_2,revision_margin_1,revised_interest_rate_index_tenor,revised_interest_rate_index,resident,redemption_date,recourse,reason_for_default_or_foreclosure,purpose,purchase_price,property_type,prior_principal_balances,principal_grace_period_end_date,primary_income_verification,primary_income_type,primary_income_currency,primary_income,prepayment_lock_out_end_date,prepayment_fee_end_date,prepayment_fee,prepayment_date,pool_addition_date,percentage_of_prepayments_allowed_per_year,payment_due,pari_passu_underlying_exposures,originator_name,originator_legal_entity_identifier,originator_establishment_country,origination_date,origination_channel,original_valuation_method,original_valuation_date,original_valuation_amount,original_underlying_exposure_identifier,original_term,original_principal_balance,original_obligor_identifier,original_loan_to_value,original_lender_name,original_lender_legal_entity_identifier,original_lender_establishment_country,original_collateral_identifier,occupancy_type,number_of_payments_before_securitisation,number_of_days_in_arrears,new_underlying_exposure_identifier,new_obligor_identifier,new_collateral_identifier,negative_equity_guarantee,maturity_date,ltv_cap,loan_redemption_flag,litigation,lien,interest_revision_date_3,interest_revision_date_2,interest_revision_date_1,interest_rate_type,interest_rate_reset_interval,interest_rate_floor,interest_rate_cap,insurance_or_investment_provider,health_impairment_flag,guarantor_type,geographic_region_obligor,geographic_region_collateral,geographic_region_classification,further_advance_flag,further_advance_amount,erm_sub_product_type,erm_product_type,energy_performance_certificate_value,energy_performance_certificate_provider_name,employment_status,early_repayment_charge_end,early_repayment_charge,drawdown_facility,deposit_amount,default_date,default_amount,debt_to_income_ratio,date_of_sale,date_of_restructuring,date_of_repurchase,date_last_in_arrears,data_cut_off_date,customer_type,current_valuation_method,current_valuation_date,current_valuation_amount,current_principal_balance,current_loan_to_value,current_interest_rate_margin,current_interest_rate_index_tenor,current_interest_rate_index,current_interest_rate,currency_denomination,cumulative_recoveries,cumulative_prepayments,cumulative_drawn_amount,credit_impaired_obligor,collateral_type,collateral_currency,broker_channel,borrower_2_income,borrower_2_id,borrower_2_age,borrower_1_id,borrower_1_age,balloon_amount,arrears_balance,amortisation_type,allocated_losses,accrued_interest,account_status
71,1904,,776700,0,,118300,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-23,ND5,ND1,2025-09-23,260000.0,77670001,ND5,118300.0,,45.5,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 300,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-23,260000.0,ND5,0.46,ND5,ND5,ND5,9.55,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,The Later Life Lending Network Limited,,,,,,ND5,,ND1,ND5,278.57,Performing (PERF)
63,1965,,776710,0,,162562,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-23,ND5,ND1,2025-09-15,425000.0,77671001,ND5,162562.0,,38.24988235294118,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-15,425000.0,ND5,0.38,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Just Mortgages Direct Limited,,,,,,ND5,,ND1,ND5,383.2,Performing (PERF)
61,1935,,779910,0,,87250,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-23,ND5,ND1,2025-09-02,250000.0,77991001,ND5,87250.0,,34.9,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-02,250000.0,ND5,0.35,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Altogether Financial Solutions Ltd,,,,,,ND5,,ND1,ND5,205.67,Performing (PERF)
60,1930,,776324,0,,57313,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-24,ND5,ND1,2025-09-08,175000.0,77632401,ND5,57312.5,,32.75,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 300,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-08,175000.0,ND5,0.33,ND5,ND5,ND5,9.52,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Contemporary Financial Solutions Ltd,,,,,,ND5,,ND1,ND5,119.59,Performing (PERF)
75,1980,,776341,0,,131175,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-24,ND5,ND1,2025-09-16,265000.0,77634101,ND5,131175.0,,49.5,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-16,265000.0,ND5,0.5,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Key Whole Of Market,,,,,,ND5,,ND1,ND5,274.86,Performing (PERF)
79,1970,,777212,0,,123860,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-24,ND5,ND1,2025-09-24,220000.0,77721201,ND5,123860.0,,56.3,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-24,220000.0,ND5,0.56,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Altogether Financial Solutions Ltd,,,,,,ND5,,ND1,ND5,259.53,Performing (PERF)
61,1968,,777592,0,,96180,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-24,ND5,ND1,2025-09-23,278000.0,77759201,ND5,96180.0,,34.597122302158276,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 300,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-23,278000.0,ND5,0.35,ND5,ND5,ND5,9.52,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Mark Wainwright,,,,,,ND5,,ND1,ND5,200.69,Performing (PERF)
69,1930,,778214,0,,51300,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-24,ND5,ND1,2025-09-30,120000.0,77821401,ND5,51300.0,,42.75,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-30,120000.0,ND5,0.43,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Lifetime Equity Release Limited,,,,,,ND5,,ND1,ND5,107.49,Performing (PERF)
64,1975,,776021,0,,74588,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-27,ND5,ND1,2025-09-10,195000.0,77602101,ND5,74587.5,,38.25,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-10,195000.0,ND5,0.38,ND5,ND5,ND5,9.48,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Key Own Brand,,,,,,ND5,,ND1,ND5,96.86,Performing (PERF)
57,1997,,777202,0,,81200,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND1,ND5,ND5,ND5,Equity Release (EQRE),ND5,ND5,ND5,ND5,ND1,ND1,GBP,ND1,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,more2life,,,2025-10-27,ND5,ND1,2025-09-29,280000.0,77720201,ND5,81200.0,,28.999999999999996,ND5,ND5,ND5,,ND5,ND1,,,,,,ND5,,N,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,,ND1,GBZZZ,GBZZZ,GBZZZ,,,Omni 400,,ND5,ND5,ND1,,,,ND5,ND5,ND5,ND5,ND5,ND5,ND5,ND5,2025-10-31,ND1,ND1,2025-09-29,280000.0,ND5,0.29,ND5,ND5,ND5,9.56,GBP,ND5,ND5,,ND5,Residential Building (RBLD),GBP,Lendle Finance Group Limited,,,,,,ND5,,ND1,ND5,106.34,Performing (PERF)
