loan_identifier,origination_date,maturity_date,original_principal_balance,current_principal_balance,current_interest_rate,scheduled_interest_payment_frequency,first_interest_payment_date,current_valuation_amount,current_valuation_date,interest_rate_type,amortisation_type,exposure_currency_denomination,account_status
776586,2025-10-03,2027-10-03,60350.0,60350.0,11.0,QUARTERLY,2025-12-31,170000.0,2025-09-13,FIX,BULL,GBP,PERFORMING
776158,2025-10-07,2027-10-07,81000.0,81000.0,11.0,QUARTERLY,2025-12-31,200000.0,2025-09-11,FIX,BULL,GBP,PERFORMING
776002,2025-10-09,2027-10-09,111100.0,111100.0,11.0,QUARTERLY,2025-12-31,220000.0,2025-07-28,FIX,BULL,GBP,PERFORMING
776342,2025-10-15,2027-10-15,91687.5,91687.5,11.0,QUARTERLY,2025-12-31,225000.0,2025-09-16,FIX,BULL,GBP,PERFORMING
776953,2025-10-15,2027-10-15,198787.0,198787.0,11.0,QUARTERLY,2025-12-31,465000.0,2025-09-05,FIX,BULL,GBP,PERFORMING
777032,2025-10-15,2027-10-15,207500.0,207500.0,11.0,QUARTERLY,2025-12-31,500000.0,2025-09-10,FIX,BULL,GBP,PERFORMING
