postcode_prefix,itl3_code,itl3_name,itl2_code,itl2_name,itl1_code,itl1_name
BS39,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS4,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS40,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS41,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS48,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS49,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS5,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS6,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS7,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS77,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS8,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS80,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS9,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS98,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS99,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BT1,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT10,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT11,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT12,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT13,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT14,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT15,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT16,TLN0E,Lisburn and Castlereagh,TLN0,Northern Ireland,TLN,Northern Ireland
BT17,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT18,TLN09,Ards and North Down,TLN0,Northern Ireland,TLN,Northern Ireland
BT19,TLN09,Ards and North Down,TLN0,Northern Ireland,TLN,Northern Ireland
BT2,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT20,TLN09,Ards and North Down,TLN0,Northern Ireland,TLN,Northern Ireland
BT21,TLN09,Ards and North Down,TLN0,Northern Ireland,TLN,Northern Ireland
BT22,TLN09,Ards and North Down,TLN0,Northern Ireland,TLN,Northern Ireland
BT23,TLN09,Ards and North Down,TLN0,Northern Ireland,TLN,Northern Ireland
BT24,TLN08,"Newry, Mourne and Down",TLN0,Northern Ireland,TLN,Northern Ireland
BT25,TLN07,"Armagh City, Banbridge and Craigavon",TLN0,Northern Ireland,TLN,Northern Ireland
BT26,TLN0E,Lisburn and Castlereagh,TLN0,Northern Ireland,TLN,Northern Ireland
BT27,TLN0E,Lisburn and Castlereagh,TLN0,Northern Ireland,TLN,Northern Ireland
BT28,TLN0E,Lisburn and Castlereagh,TLN0,Northern Ireland,TLN,Northern Ireland
BT29,TLN0D,Antrim and Newtownabbey,TLN0,Northern Ireland,TLN,Northern Ireland
BT3,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT30,TLN08,"Newry, Mourne and Down",TLN0,Northern Ireland,TLN,Northern Ireland
BT31,TLN08,"Newry, Mourne and Down",TLN0,Northern Ireland,TLN,Northern Ireland
BT32,TLN07,"Armagh City, Banbridge and Craigavon",TLN0,Northern Ireland,TLN,Northern Ireland
BT33,TLN08,"Newry, Mourne and Down",TLN0,Northern Ireland,TLN,Northern Ireland
BT34,TLN08,"Newry, Mourne and Down",TLN0,Northern Ireland,TLN,Northern Ireland
BT35,TLN08,"Newry, Mourne and Down",TLN0,Northern Ireland,TLN,Northern Ireland
BT36,TLN0D,Antrim and Newtownabbey,TLN0,Northern Ireland,TLN,Northern Ireland
BT37,TLN0D,Antrim and Newtownabbey,TLN0,Northern Ireland,TLN,Northern Ireland
BT38,TLN0F,Mid and East Antrim,TLN0,Northern Ireland,TLN,Northern Ireland
BT39,TLN0D,Antrim and Newtownabbey,TLN0,Northern Ireland,TLN,Northern Ireland
BT4,TLN06,Belfast,TLN0,Northern Ireland,TLN,Northern Ireland
BT40,TLN0F,Mid and East Antrim,TLN0,Northern Ireland,TLN,Northern Ireland
BT41,TLN0D,Antrim and Newtownabbey,TLN0,Northern Ireland,TLN,Northern Ireland
BT42,TLN0F,Mid and East Antrim,TLN0,Northern Ireland,TLN,Northern Ireland
BT43,TLN0F,Mid and East Antrim,TLN0,Northern Ireland,TLN,Northern Ireland
